"gene","log2FC_LP","padj_LP","padj_manual_LP","log2FC_ML","padj_ML","padj_manual_ML"
"319352",-2.42576721604361,1.64003212245613e-97,1.64003212245613e-97,-1.91834120716142,1.16940221643471e-63,1.16940221643471e-63
"66813",5.27536938044424,1.86043157586254e-97,1.86043157586254e-97,6.50569780695791,1.23778581129223e-148,1.23778581129223e-148
"380785",-5.88881420412712,2.21263604505328e-97,2.21263604505328e-97,-6.98976324800578,4.27542133731178e-110,4.27542133731178e-110
"107515",-2.54667954463452,5.77064012995515e-97,5.77064012995515e-97,-3.19731308518097,3.53428217088917e-150,3.53428217088917e-150
"14421",2.60634724924331,7.34915516669867e-97,7.34915516669867e-97,2.833567994722,8.0409145529052e-115,8.0409145529052e-115
"71690",6.51711202784142,4.12730389799338e-96,4.12730389799338e-96,4.71183184764278,6.24834370678017e-51,6.24834370678017e-51
"19414",-4.52352139905796,1.12132697582604e-95,1.12132697582604e-95,-4.7769761253509,1.80260705120732e-107,1.80260705120732e-107
"108153",-4.26495674286359,2.71577585121406e-95,2.71577585121406e-95,-4.81656137957898,7.55428232399409e-120,7.55428232399409e-120
"238257",3.14788254886006,4.15855974369123e-95,4.15855974369123e-95,3.94669172560337,6.64755552552013e-150,6.64755552552013e-150
"226866",-6.82993779847012,1.53230204550515e-94,1.53230204550515e-94,-7.11228632327667,2.37741744067491e-104,2.37741744067491e-104
"63873",-4.68102243183528,1.62526499067247e-94,1.62526499067247e-94,-3.63894727483873,3.25221754560744e-66,3.25221754560744e-66
"77577",6.59040760474616,1.19234449178903e-93,1.19234449178903e-93,4.46255368287525,1.48403807794614e-43,1.48403807794614e-43
"16590",5.8211856129671,2.50959389188079e-93,2.50959389188079e-93,4.19899956339522,1.92995127352907e-49,1.92995127352907e-49
"210274",5.21074180033584,3.18194024878642e-93,3.18194024878642e-93,4.23032298853409,5.91244973834214e-62,5.91244973834214e-62
"72058",5.98794169753165,6.06754826424679e-93,6.06754826424679e-93,5.09633189180268,2.48249768608812e-67,2.48249768608812e-67
"330409",4.92283118592841,8.78622867933036e-93,8.78622867933036e-93,5.02372633770741,6.00735430171997e-97,6.00735430171997e-97
"71145",4.9138125388227,1.23916040685705e-92,1.23916040685705e-92,3.71712362363299,1.04542926763106e-53,1.04542926763106e-53
"16665",-6.64079533133737,5.49397990964102e-92,5.49397990964102e-92,-4.81602823131715,4.22454498058396e-50,4.22454498058396e-50
"68339",3.18784725117438,9.66966080601163e-92,9.66966080601163e-92,3.91143884100277,5.39916231232265e-139,5.39916231232265e-139
"65973",-3.17155397045006,1.06170444922218e-91,1.06170444922218e-91,-2.71177805283249,3.11470626180286e-68,3.11470626180286e-68
"77220",-7.46023423889858,1.26756944806162e-91,1.26756944806162e-91,-7.44957070042567,8.23629211228406e-106,8.23629211228406e-106
"14275",6.63096545551689,1.62818346906696e-91,1.62818346906696e-91,4.53612097193837,1.27158526533234e-43,1.27158526533234e-43
"235633",3.65161933704894,3.32354474277464e-91,3.32354474277464e-91,3.16297984516687,7.3411808021684e-69,7.3411808021684e-69
"18719",4.91448326242212,1.11808706119102e-90,1.11808706119102e-90,4.49280562098622,4.88263185084146e-76,4.88263185084146e-76
"17436",3.59065945056597,1.65617043470023e-90,1.65617043470023e-90,2.71098393809094,3.43847119036771e-52,3.43847119036771e-52
