"","GSM1545538","GSM1545539","GSM1545542","GSM1545535","GSM1545541","GSM1545545","GSM1545536","GSM1545540","GSM1545544"
"497097",8.24425493205152,8.9319301355703,8.9004447978584,5.50619634745793,5.57900451495783,5.22521032850415,5.57904643805245,5.52027138685049,5.67097887296981
"20671",6.83746018805595,6.50981696482722,7.12019211111462,5.50619634745793,5.98267934893095,6.18439353352986,5.47572296278929,6.18758114586101,6.5235800796252
"27395",9.97375023880457,10.0733943557032,9.43779469263205,9.42264190566251,9.34917015951112,9.65528935542127,9.88432226692359,9.80057630999613,9.83859902143425
"18777",10.8049713108078,10.6406558260719,10.5142409996664,10.1883563512077,10.5475783234159,10.6071342053204,10.9809823317582,11.0341003641612,11.1779344181319
"21399",10.7800199821467,10.6022058127042,10.5886860170495,10.2605135294163,10.4167956575937,10.4522636072393,10.2025107554988,10.2897985533413,10.4863592276877
"58175",6.01801724161373,6.00116347025986,5.92999391858105,9.48432338022607,8.97252993743929,9.10999349986586,8.8968369305665,8.63235893911991,8.77142658075248
"108664",10.5533574404829,10.742892361864,10.4381098974026,11.2974161847862,11.4563284631,11.4286711618373,11.5991540107826,11.5276578710218,11.6262198577061
"12421",11.2229203192306,11.1192996898585,11.4725813534044,12.2839009729,12.2309946399664,12.1750268256459,11.6101555246386,11.4579601339383,11.7452257697728
"319263",11.4227364614941,11.1187859831321,11.4516233240691,11.5305136580393,11.47860125202,11.5336261343966,11.2124536280132,11.0369789934355,11.5363961141531
"59014",11.8993356028072,11.7358944695371,12.0096909081191,10.4864747605883,11.1577024601337,10.6806310899914,10.2135545970666,10.8811064035367,10.2782067379654
"76187",6.50358010511302,6.38134715941516,6.73386649970898,7.14782871431123,7.33165244787459,6.92070573235855,7.24327283225384,7.15430436258171,7.17302960059884
"72481",5.89371744667986,5.94481099706999,5.98523669533003,6.32416881240172,6.20921595222062,6.34264047851088,6.50962391370228,6.57254648473087,6.5235800796252
"76982",6.10385284467196,6.56842571805001,6.30629591779988,6.47540016775735,6.38755265843182,6.51914377094944,5.96941410293307,6.21525171824747,6.10653028505596
"17864",9.56816541368417,9.56117604671154,9.56352427993865,8.43848378546877,9.02172941870457,8.45825694967802,8.00599062566318,8.65142843023542,7.96106041105163
"70675",11.2638810416971,11.2675496464111,11.66221936634,11.7633871286785,11.7284884449695,11.7046549809111,11.1979409782972,11.5052305765971,11.515257845704
"170755",9.16111922014837,9.02084882789497,9.17436067588841,7.57998474719863,8.00573432804399,8.28827529831742,8.77091009116961,8.81072912953572,9.11072516010782
"620986",8.3731157944337,7.85721573296173,7.81321027458478,7.38822524646201,7.21212043689774,7.44274248986247,8.17658084830809,7.84164927576862,8.0834133239022
"73824",9.30846571908569,9.02084882789497,9.16672926169199,8.91674622134328,8.84987663779884,9.35254599688933,9.28359039559415,8.79026383483456,9.40022389258669
"266793",6.60308107987145,5.88322527924258,6.52793790912413,5.78456100564912,6.10414933627391,6.05959395591851,5.83505898256763,5.94182967361329,6.15824844095953
"100038398",6.74740459914181,7.1030226838182,6.68591433581784,6.32416881240172,6.55166743674076,5.98861726052386,6.44288106904208,6.41029851762911,6.29666972717406
"26754",11.47651651608,11.4374160914997,11.2081715398411,11.367502545067,11.3411703192519,11.4431884537522,11.501808113504,11.5393765190317,11.6393050506092
"211660",9.97863669472665,9.76699573857293,10.4093970793115,10.1472536191285,10.7180742933858,10.4632688035454,9.97639122019692,9.94260365231085,10.4917830075231
"211673",12.9331636204142,12.6407769952465,13.0958822105773,13.2297187940269,13.4862605607742,13.1687653062764,12.9903947274517,13.1313834657162,13.1348647661291
"329093",9.27382328678014,8.99407459696164,9.07590960943813,5.62196151104058,5.57900451495783,5.56979371053756,5.22521032850415,5.22521032850415,5.22521032850415
"109294",8.21430934380955,8.01924160651035,9.228503766134,6.92687257296045,8.18013307473365,7.74198193379208,7.43471658714785,8.0338363552219,8.02358832269092
"320492",6.49044371464602,6.50981696482722,6.48444216849147,5.22521032850415,5.22521032850415,5.56979371053756,5.57904643805245,5.60569313249878,5.22521032850415
"240725",10.6279753519469,10.7002559829461,11.1974866660655,7.77687288184972,7.9302380407315,7.47950836892362,7.520859377637,7.17687351960723,7.24792910184091
"240726",6.12389263057346,6.4150637796284,6.58323281111251,6.1824572688342,6.14780763649231,5.90958158616375,5.83505898256763,6.01570689189598,5.99134498890375
"383491",5.92050773998865,6.3464015603069,5.98523669533003,6.1824572688342,5.955709771712,5.71138031963065,5.83505898256763,5.88049012711866,5.54104061137885
"17978",12.2263077460651,12.3186641488187,12.4703420956553,12.6442540135628,12.5695376544039,12.6543917508281,12.6597614739792,12.7079132179876,12.8235339077304
"72265",12.0748036317172,12.1657106542732,12.2099243168453,12.933131823154,13.3431459788528,12.9710600630992,12.5857976789518,12.8042765547291,12.409369717564
"212442",8.36105199446279,8.45575385391415,8.12934669181609,9.09720336771448,9.47556239952827,9.5599271460694,10.076597921843,9.83659276342518,10.4177309206979
"14048",9.73004001538682,9.75777233815769,9.63012255864433,5.50619634745793,6.20921595222062,6.29293536767817,5.47572296278929,5.70565999193835,6.15824844095953
"17681",5.73767281700255,5.52151983541379,5.80254299219395,6.60682467583367,6.48036255379975,7.02860622682533,8.3336963864621,7.46603331961632,8.0834133239022
"21749",9.3053507976904,8.91774466041018,8.91192393171704,8.81486902101987,8.66793701336859,9.07007399710552,8.95420488880432,8.65332134761872,9.50786906202021
"226866",11.6277110736955,11.5823050291339,11.5876927526817,6.0114495602967,6.65656520530211,6.29293536767817,6.29393722629753,6.21525171824747,6.41670742713287
"19989",14.5624794426686,14.2371267134208,14.2449492413344,14.6161460760475,14.1639649835812,14.1542844486085,14.1914156695043,13.9921061226701,13.7511044720383
"98711",11.409424033857,11.7551907442574,11.0258656410247,11.1223533082735,11.1018920769664,10.5107172064323,10.8832850110407,10.5638531247163,10.4158299574665
"29819",10.1727463290828,10.0390216528171,10.0936087869379,10.1918756581203,10.0144714832584,10.1012222766491,9.8493255174718,9.88378669399608,9.70160206032139
"66799",10.3054063388632,10.2565355400664,10.4693558788454,9.68020263812951,9.9153533042399,9.77686255608125,9.63172770962162,9.81744044144876,9.78358675789345
"67923",11.4970711686565,11.5684538513201,11.6321794808486,10.367068183253,10.9094916579687,10.8842763186234,10.7417831727734,10.902178881814,11.2253520280728
"70397",9.94007477056527,9.99822695102917,9.822901516721,9.24726768339674,9.04674106900811,9.46657256850579,9.71771884106946,9.55212648133936,9.68273013822996
"17087",6.74740459914181,6.73939074921093,7.00469786117902,7.91437545015256,8.2507446985423,8.02382497256692,7.55741824853103,7.61794186586069,7.65135264204796
"57339",8.44340444766365,8.40550934916721,8.33959843450939,8.479795678408,8.18393980695868,7.64946322840191,7.17254944465956,7.21542449555308,6.68042529498206
"94227",10.6562857926608,9.37360962166798,10.6458647058203,6.78859120284197,7.73953605424454,7.42396711552736,6.66914823746899,6.17339809751526,7.71664221262685
"83691",11.4337962788572,11.2021342605738,11.3998832941098,7.10024310736338,7.74999198220983,7.3052669588328,6.91773263839455,6.2551598102124,6.48919749988185
"21419",11.6416248549263,11.897327990308,11.3839922528914,11.5463949497595,11.1191076739713,11.8057646024346,11.8037512134795,11.8151961394074,12.3804403785053
"17215",11.9796693845009,12.0253371950178,11.1409029013786,9.72465772677775,9.62935276144584,9.21826722324005,10.2245143743422,10.308393340824,9.45690982313749
"74229",8.22769771671461,8.2845059132849,8.58423413755292,6.94536825618496,6.76367445352564,7.07917225808626,7.57532824513213,7.44348815205232,7.88433577734046
