"gene","log2FoldChange","lfcSE","pvalue","padj","padj_manual"
"66273",-0.0684160096562208,0.174448480982326,0.689346306168941,0.755930372891906,0.755930372891906
"102462",0.0744071567638178,0.184531837058056,0.689261936310749,0.755930372891906,0.755930372891906
"21923",0.135960805864196,0.35919217340899,0.689793650753141,0.756370749383046,0.756370749383046
"14969",0.175727524040038,0.500629023351593,0.690277541542983,0.75685113834608,0.75685113834608
"17769",0.0722886033660912,0.183893552939461,0.690495369760314,0.757039760040989,0.757039760040989
"243853",-0.0796452030911592,0.202328784338605,0.690727789885811,0.75724435381433,0.75724435381433
"65963",0.0600895226774973,0.151030813553818,0.691166826220782,0.757675418623883,0.757675418623883
"60533",0.128480189696978,0.343579612532889,0.691304173709241,0.757775728873591,0.757775728873591
"654803",0.118245349851745,0.307032866115968,0.691371312189602,0.757799071049275,0.757799071049275
"71078",0.207228871934471,0.703674902071532,0.691922200523507,0.75835260407463,0.75835260407463
"75881",0.188168739805223,0.581949435217792,0.692178884342808,0.758583634435233,0.758583634435233
"278676",0.100242295642844,0.259041223610778,0.69254951770853,0.758939507274066,0.758939507274066
"100503318",-0.163278814028419,0.468161323282354,0.692734867624018,0.759092301082203,0.759092301082203
"71772",0.0650882326843751,0.164612511240052,0.692999246689913,0.759331668287436,0.759331668287436
"243834",-0.0959579809693085,0.253008752590352,0.693336452020352,0.759650795512456,0.759650795512456
"107723",0.0589099631996225,0.149411582423272,0.693753209232065,0.760057035299975,0.760057035299975
"18786",-0.0770210507676097,0.200824733764258,0.693886619835105,0.760152815022486,0.760152815022486
"243373",-0.167118750556854,0.487381418377943,0.694140162050739,0.760380177514826,0.760380177514826
"18120",-0.0746065491586663,0.196785183180169,0.694227315086618,0.760411651436598,0.760411651436598
"74585",0.0404478226041467,0.102042010764601,0.69426089797224,0.760411651436598,0.760411651436598
"70052",-0.0557182883998282,0.147122933979659,0.694392966658235,0.76050591259926,0.76050591259926
"68194",-0.138477904469389,0.384997550680143,0.694622937336866,0.76070737738031,0.76070737738031
"327951",-0.0835895168775573,0.219224891569595,0.695239288500999,0.761331927056742,0.761331927056742
"56403",-0.0878319656089194,0.227415824735043,0.695356853444251,0.761410227042493,0.761410227042493
"17168",-0.110984995156593,0.300156405675796,0.695869570374227,0.761870711238971,0.761870711238971
"18628",0.0940760166011444,0.249476248739273,0.695854188475161,0.761870711238971,0.761870711238971
"319760",-0.121618109509477,0.330871767141932,0.696471258993324,0.762375969678248,0.762375969678248
"72465",-0.0600864080952711,0.160023383765189,0.696444280024023,0.762375969678248,0.762375969678248
"29805",-0.0663551414802078,0.17327881560752,0.696515541081725,0.762375969678248,0.762375969678248
"71974",-0.078085570853418,0.203161641887488,0.696385853780635,0.762375969678248,0.762375969678248
"628161",0.0618619612211583,0.160244325826926,0.697111885450806,0.76297818092444,0.76297818092444
"20200",-0.120336496279428,0.330455301611897,0.697177783893498,0.762999786001028,0.762999786001028
"107829",-0.0615113129925999,0.161204266747051,0.697267879310544,0.763018962204173,0.763018962204173
"72290",-0.0960794307422131,0.25709876581233,0.69728762510927,0.763018962204173,0.763018962204173
"17318",-0.0756680630926263,0.199687957709441,0.697490807649165,0.76319077582847,0.76319077582847
"11806",0.194341406303908,0.625040338455272,0.69771858310526,0.763389474366557,0.763389474366557
"17346",0.0701918317178501,0.181507823488136,0.697787380150899,0.763414216287932,0.763414216287932
"19679",-0.0763251492449154,0.19940524052635,0.697988749483905,0.763583986033683,0.763583986033683
"12259",-0.18622101495036,0.603826364382214,0.698419859988518,0.76400504834956,0.76400504834956
"100504512",0.188200243842147,0.628534386870803,0.69893506251227,0.764518037541544,0.764518037541544
"66628",-0.0716087559884396,0.189238183837704,0.699191467043958,0.764747895866911,0.764747895866911
"21854",0.0516977941320336,0.134224730929953,0.699297790561174,0.764813581975401,0.764813581975401
"12228",0.110752071942814,0.299747849480942,0.699614628163405,0.765109480882639,0.765109480882639
"75732",-0.151694765377732,0.433096349640946,0.699780811697275,0.765240593897589,0.765240593897589
"20807",0.126996243332586,0.34069614946325,0.699860216863058,0.765276799943531,0.765276799943531
"71832",-0.084141460075587,0.228864013652225,0.700036765299878,0.765419217516006,0.765419217516006
"72656",0.0606681520347745,0.1585314291266,0.700147345758163,0.765489491724481,0.765489491724481
"381511",0.0819722481372598,0.216957032342018,0.700541389832562,0.765869654360598,0.765869654360598
"11736",0.0428645961112093,0.11244902499135,0.70072230833013,0.765966125955367,0.765966125955367
"76580",0.0915189588498302,0.222520161677799,0.700692849368846,0.765966125955367,0.765966125955367
"99010",-0.0785406871741541,0.210576252693675,0.701276105813595,0.766520798062469,0.766520798062469
"74145",-0.180994009502307,0.57853401563895,0.701495319266459,0.766709708243492,0.766709708243492
"17281",0.0754495887946863,0.198437919149504,0.701632307781396,0.766808730421585,0.766808730421585
"14815",0.0597918505498073,0.156885843559828,0.701726672787341,0.766861159670419,0.766861159670419
"268281",0.0657497320185701,0.173850231068175,0.702518153129224,0.767594828821649,0.767594828821649
"15387",-0.0535154858136393,0.142725496531462,0.70253733607034,0.767594828821649,0.767594828821649
"240041",-0.106054088327283,0.291972946920876,0.702502644366474,0.767594828821649,0.767594828821649
"67003",0.0439532979615868,0.114915227335588,0.702701847050809,0.767723828932576,0.767723828932576
"237636",0.135941493362807,0.381308924954413,0.702775693005122,0.767753764151389,0.767753764151389
"18711",0.0831495406119832,0.221064269998991,0.703613134954969,0.768617837748192,0.768617837748192
"224997",0.113949003306151,0.313371812487144,0.70388800033924,0.768867286434127,0.768867286434127
"71885",0.0752265683950766,0.201025906007096,0.704006517684699,0.76892069621455,0.76892069621455
"56364",0.0768663063491481,0.205427257666621,0.704029929655609,0.76892069621455,0.76892069621455
"66917",-0.0807159167483763,0.218987455221469,0.704149931931381,0.769000949711002,0.769000949711002
"100042335",0.0585846476556747,0.154876670172759,0.705462552506645,0.770383562987041,0.770383562987041
"56541",-0.0514768655723422,0.138174815345178,0.705697391053577,0.770538204248341,0.770538204248341
"14998",-0.0886774255760585,0.243726890156855,0.705686887473616,0.770538204248341,0.770538204248341
"626391",-0.150697506879378,0.447583113155873,0.70583157343829,0.770633811686588,0.770633811686588
"269198",0.0992992870822799,0.268831199873024,0.706005259418509,0.770772534059042,0.770772534059042
"70047",0.0664224879576999,0.179085956040339,0.70628203963401,0.771023782535345,0.771023782535345
