"gene","log2FoldChange","lfcSE","pvalue","padj","padj_manual"
"12521",4.10512470268143,0.112456226707559,7.62959304598162e-293,1.26117173050076e-288,1.26117173050076e-288
"218518",5.22429186171498,0.152937121849724,9.16934454445274e-257,7.57846326599019e-253,7.57846326599019e-253
"19253",5.59500977788534,0.164162684394779,1.18286881843193e-255,6.51760718955993e-252,6.51760718955993e-252
"67451",5.66649197530724,0.168068454173511,1.91356553465899e-250,7.90780957197828e-247,7.90780957197828e-247
"22249",4.34894804995234,0.134673466971998,5.39728160722734e-230,1.78434129934936e-226,1.78434129934936e-226
"224912",3.97512592351049,0.126067555194525,2.94239658413641e-219,8.10630258929582e-216,8.10630258929582e-216
"50722",6.29748389992834,0.204898116567063,1.16126676242397e-208,2.74224851183832e-205,2.74224851183832e-205
"242505",6.07672194932093,0.201997460257975,6.70556223894184e-200,1.38553679762136e-196,1.38553679762136e-196
"227960",5.52025135120752,0.185620466945306,1.82942778799445e-195,3.36004903728315e-192,3.36004903728315e-192
"14245",3.76328935123213,0.129569261524177,2.63819213609854e-187,4.36093160097089e-184,4.36093160097089e-184
"16324",4.73362359780441,0.164022563331005,2.96287787327869e-184,4.45239738593607e-181,4.45239738593607e-181
"18826",4.26799246737537,0.14927689935642,7.00459795651053e-181,9.64883368509326e-178,9.64883368509326e-178
"70350",6.0210053579138,0.212311697885743,4.45025078003127e-178,5.6586650303013e-175,5.6586650303013e-175
"320007",6.30086035396084,0.2225575453541,2.05814632437339e-177,2.43008276727801e-174,2.43008276727801e-174
"20743",5.00772342640557,0.178098017878246,4.39721472700361e-175,4.84573062915798e-172,4.84573062915798e-172
"53624",5.37661161710789,0.193263509530087,1.64861003568561e-171,1.7032202431177e-168,1.7032202431177e-168
"18260",5.75871023046271,0.208756011796867,9.73317067080822e-169,9.46407712873294e-166,9.46407712873294e-166
"269132",-4.9685223256588,0.183136232255417,5.33589783828888e-164,4.80685261954903e-161,4.80685261954903e-161
"66871",-4.66373770084121,0.171417943901998,5.52511795350463e-164,4.80685261954903e-161,4.80685261954903e-161
"21804",-5.17635235811621,0.190749316538826,1.14800361673801e-162,9.48824989233969e-160,9.48824989233969e-160
"228543",6.27465148370405,0.234712598860959,1.25548542959087e-158,9.88246388149383e-156,9.88246388149383e-156
"105853",5.37425607983464,0.201663696995258,9.35763479423594e-158,7.03098650676001e-155,7.03098650676001e-155
"12759",5.30910307426759,0.201509213474096,4.13140898813201e-154,2.9692256771227e-151,2.9692256771227e-151
"20661",3.82149539459246,0.145462144026405,3.23547493464098e-153,2.22843336123397e-150,2.22843336123397e-150
"208943",5.61901563396731,0.214993285932252,1.24954488288501e-151,8.26199076563566e-149,8.26199076563566e-149
"70737",5.62138269640009,0.216728627865352,1.81773299733687e-149,1.15565870946071e-146,1.15565870946071e-146
"27375",5.5332097245321,0.213530950564635,2.8460874673901e-149,1.74243799392438e-146,1.74243799392438e-146
"26943",3.37685323593011,0.131633402182687,4.21727659005645e-146,2.48969935834404e-143,2.48969935834404e-143
