"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"12521",10650.8954873524,4.10512470268143,0.112456226707559,7.62959304598162e-293,1.26117173050076e-288
"218518",2764.86492189027,5.22429186171498,0.152937121849724,9.16934454445274e-257,7.57846326599019e-253
"19253",1693.70478922299,5.59500977788534,0.164162684394779,1.18286881843193e-255,6.51760718955993e-252
"67451",2121.11657339068,5.66649197530724,0.168068454173511,1.91356553465899e-250,7.90780957197828e-247
"22249",4022.8689001596,4.34894804995234,0.134673466971998,5.39728160722734e-230,1.78434129934936e-226
"224912",1542.88828497528,3.97512592351049,0.126067555194525,2.94239658413641e-219,8.10630258929582e-216
"50722",2837.33865977456,6.29748389992834,0.204898116567063,1.16126676242397e-208,2.74224851183832e-205
"242505",4322.24408091494,6.07672194932093,0.201997460257975,6.70556223894184e-200,1.38553679762136e-196
"227960",1389.26343434957,5.52025135120752,0.185620466945306,1.82942778799445e-195,3.36004903728315e-192
"14245",5256.27370364654,3.76328935123213,0.129569261524177,2.63819213609854e-187,4.36093160097089e-184
"16324",7240.12104199995,4.73362359780441,0.164022563331005,2.96287787327869e-184,4.45239738593607e-181
"18826",3430.51269927528,4.26799246737537,0.14927689935642,7.00459795651053e-181,9.64883368509326e-178
"70350",4102.13904863315,6.0210053579138,0.212311697885743,4.45025078003127e-178,5.6586650303013e-175
"320007",1241.99649317875,6.30086035396084,0.2225575453541,2.05814632437339e-177,2.43008276727801e-174
"20743",3908.46751587801,5.00772342640557,0.178098017878246,4.39721472700361e-175,4.84573062915798e-172
"53624",7654.54488332967,5.37661161710789,0.193263509530087,1.64861003568561e-171,1.7032202431177e-168
"18260",3549.55078818548,5.75871023046271,0.208756011796867,9.73317067080822e-169,9.46407712873294e-166
"269132",1336.45312598956,-4.9685223256588,0.183136232255417,5.33589783828888e-164,4.80685261954903e-161
"66871",2416.45104082513,-4.66373770084121,0.171417943901998,5.52511795350463e-164,4.80685261954903e-161
"21804",2682.78826305064,-5.17635235811621,0.190749316538826,1.14800361673801e-162,9.48824989233969e-160
"228543",5111.78380886524,6.27465148370405,0.234712598860959,1.25548542959087e-158,9.88246388149383e-156
"105853",2569.04298483702,5.37425607983464,0.201663696995258,9.35763479423594e-158,7.03098650676001e-155
"12759",42590.2867424166,5.30910307426759,0.201509213474096,4.13140898813201e-154,2.9692256771227e-151
"20661",8727.71390252429,3.82149539459246,0.145462144026405,3.23547493464098e-153,2.22843336123397e-150
"208943",1498.2205103094,5.61901563396731,0.214993285932252,1.24954488288501e-151,8.26199076563566e-149
"70737",4153.28297921801,5.62138269640009,0.216728627865352,1.81773299733687e-149,1.15565870946071e-146
"27375",3622.77905832048,5.5332097245321,0.213530950564635,2.8460874673901e-149,1.74243799392438e-146
"26943",71640.1178277463,3.37685323593011,0.131633402182687,4.21727659005645e-146,2.48969935834404e-143
"78896",2114.53430807222,-5.56590874695556,0.218004048294933,3.6420143142274e-144,2.07594815910962e-141
"229722",1163.32631869325,6.4406856822285,0.254926795334644,5.37756155348449e-142,2.96303641596995e-139
"72097",1232.22033006453,5.69402964961472,0.225734923917443,1.66401964534268e-141,8.87298217339179e-139
"15439",6334.59645421356,6.27990942975608,0.251824312219401,2.07241475080624e-138,1.07053174471335e-135
"234779",2824.61202676011,4.1534023374598,0.167909392901077,3.70924781425566e-136,1.85799595059534e-133
"353499",9153.27330899762,3.4836983861758,0.141344479940689,4.12964793383613e-135,2.00773765724445e-132
"230678",883.056768673626,3.85862319665364,0.158188525927797,2.23053618411518e-132,1.05345037495497e-129
"11600",2654.5703090841,6.64272096915336,0.273542092782486,1.95230745836972e-131,8.96434507968098e-129
"13661",7018.49965750601,5.91692794506724,0.250001455215443,5.46491409144245e-125,2.44148729544713e-122
"216892",9162.76413065798,5.51119622783628,0.233178262925983,1.14963010653053e-124,5.0008909634078e-122
"16950",970.601540816484,-4.47348903386083,0.190426580839461,2.41283676524768e-122,1.02267158280882e-119
"22354",3531.64220224848,4.05945524155287,0.173426770083954,3.28340066383548e-122,1.35686532433001e-119
"74002",530.838755828963,-5.74146044387916,0.245257223890832,1.16960339340746e-121,4.71549855927446e-119
"19329",1137.84853584099,5.17272018894906,0.222377526595461,6.58095735678822e-121,2.59007678827879e-118
"170643",5682.74368628989,-4.7868357977528,0.206696446517739,8.31313812721799e-120,3.19572495913752e-117
"16669",89679.0229271388,4.57027835231883,0.19798632496191,5.42930732839711e-119,2.0396920486001e-116
"72281",550.006698690468,5.72552457987997,0.248322921149813,1.83306725795615e-118,6.73346706089226e-116
"77579",4865.0433212793,-2.95634851707675,0.12890992313742,1.18792021011315e-117,4.26876545068919e-115
"53972",865.556132795269,4.02312167287404,0.175333540171755,1.54693985094729e-117,5.44062036939546e-115
"67182",424.833803825946,5.99360768764121,0.260753391708822,1.60670322245199e-117,5.53308422231906e-115
"21414",2080.32650090081,-4.55381490624945,0.198674340935409,3.6987900885715e-117,1.2477755135528e-114
"18585",1394.7130521986,5.89180799797936,0.258335066786562,2.55338118938955e-116,8.44147821212184e-114
"170722",760.730705494544,5.4669166857329,0.239566510279912,2.84530589247979e-116,9.22213851033157e-114
"268935",1121.06303198479,-6.72125361865233,0.295049235192892,1.00918337723193e-114,3.20803869723919e-112
"235627",1440.28165520172,3.68753600537271,0.162955204846446,1.76722038864378e-114,5.51172698571351e-112
"233066",1940.39741734726,4.2441249330866,0.188494258281862,2.13815892993875e-113,6.54514205775695e-111
"320405",2927.63109000245,3.85553744928672,0.171281228006385,2.46742619421263e-113,7.41573727096997e-111
"19280",9785.42586040747,-3.64823962888826,0.162254688142691,5.04154102119095e-113,1.48815487643369e-110
"13036",4141.17712772105,4.51974368216915,0.2009982150409,2.3914019258645e-112,6.93506558500706e-110
"100038347",2415.08524606558,4.8548551332686,0.217795565450902,2.66164647706289e-111,7.58569245962925e-109
"226519",23688.2894572832,-3.09068918756913,0.139309173366331,1.43413524818147e-110,4.0180094326169e-108
"432995",451.366223878431,5.75259514554962,0.258072540391934,1.57576777208057e-110,4.34124021208196e-108
"20528",783.438407944734,-5.12235936603915,0.230724443666784,4.44169771363679e-110,1.20362726567895e-107
"13711",6611.114081311,6.21228914410411,0.280477614970132,7.18792411082488e-110,1.91639331535379e-107
"12725",4336.25566630856,3.62160628483268,0.16362902247042,1.41331011106809e-109,3.70825652951674e-107
"12709",887.24279421648,-4.71652113349906,0.21325332959595,1.0710142203129e-108,2.76622891590192e-106
"16668",90849.7974252933,5.05852100503972,0.230264753140475,4.39690366495055e-108,1.11816642433281e-105
"21898",1210.24667227296,4.76522083382062,0.217163487132241,6.89540238504272e-108,1.72698487007206e-105
"192120",1390.25571164126,4.90823664149872,0.22380296272871,1.61245695617302e-107,3.97819604261792e-105
"14233",1598.03911405311,6.84560614906872,0.314685243835637,4.5716284802218e-106,1.11130909967745e-103
"66060",1241.00587555469,4.80870920778938,0.221355184476562,1.09659221966407e-105,2.62705353493437e-103
"12740",78333.7514677419,5.31805855619658,0.245363959224205,2.61259664581589e-105,6.1694603650481e-103
"12737",9052.25949573021,6.1497342698581,0.284720909625212,1.24324317514287e-104,2.89448023733968e-102
"26557",1751.14084808254,2.89513194690859,0.13446849185582,9.36008092040684e-104,2.14891857797674e-101
"17919",1813.7508141972,3.73840709978265,0.173943740299588,1.43420306465206e-103,3.24758584365734e-101
"15552",689.185775439704,-5.56748582181434,0.261066992455095,3.57542363817147e-102,7.98672334310465e-100
"72685",552.006928143119,5.30132640744791,0.248663238625891,9.05345222050219e-102,1.99538086939868e-99
"71740",3611.16024142512,4.61929905653149,0.217153034563331,1.4075071897501e-101,3.06132813770647e-99
"18143",458.539447314928,4.99568144268719,0.236721846560955,5.46381167070627e-100,1.1729455443737e-97
"319352",2253.01166216249,-2.42576721604361,0.115099728138869,7.73880856331385e-100,1.64003212245613e-97
"66813",1553.1433192388,5.27536938044424,0.250304623292725,8.89135477877441e-100,1.86043157586254e-97
"380785",589.514267215901,-5.88881420412712,0.277519767042624,1.07084624080013e-99,2.21263604505328e-97
"107515",4165.77593935168,-2.54667954463452,0.121106467186964,2.82771839398891e-99,5.77064012995515e-97
"14421",4135.1617189662,2.60634724924331,0.123831589425608,3.64567890907012e-99,7.34915516669867e-97
"71690",1462.30096802156,6.51711202784142,0.311357750316521,2.07239094696582e-98,4.12730389799338e-96
"19414",1304.15965834604,-4.52352139905796,0.216413042413212,5.69821330728296e-98,1.12132697582604e-95
"108153",2225.30485784542,-4.26495674286359,0.204446289093178,1.39649695918449e-97,2.71577585121406e-95
"238257",3983.65676814199,3.14788254886006,0.1510838889466,2.16355800337233e-97,4.15855974369123e-95
"226866",1025.00433568229,-6.82993779847012,0.324807011777692,8.06474760792184e-97,1.53230204550515e-94
"63873",835.549589467159,-4.68102243183528,0.226310664288748,8.65234840769372e-97,1.62526499067247e-94
"77577",1027.73036331931,6.59040760474616,0.319129171575203,6.41976163153197e-96,1.19234449178903e-93
"16590",11027.9825497031,5.8211856129671,0.282364719537821,1.36638505910025e-95,2.50959389188079e-93
"210274",2187.28687791561,5.21074180033584,0.252923319080962,1.75170334325205e-95,3.18194024878642e-93
"72058",313.346785745084,5.98794169753165,0.289647480665257,3.37697786031884e-95,6.06754826424679e-93
"330409",802.546283581979,4.92283118592841,0.239491292909582,4.94325025515864e-95,8.78622867933036e-93
"71145",5641.76744825506,4.9138125388227,0.239178263691968,7.04664720172794e-95,1.23916040685705e-92
"16665",14338.0667304122,-6.64079533133737,0.32477731198579,3.1574597181845e-94,5.49397990964102e-92
"68339",1745.98160274144,3.18784725117438,0.155794153899437,5.61577397082345e-94,9.66966080601163e-92
"65973",6283.1949911808,-3.17155397045006,0.15507641785917,6.23020759676659e-94,1.06170444922218e-91
"77220",692.787602548202,-7.46023423889858,0.361762128810406,7.5149307870562e-94,1.26756944806162e-91
"14275",1904.75395575606,6.63096545551689,0.324974706230573,9.75137104885837e-94,1.62818346906696e-91
"235633",2592.02718916451,3.65161933704894,0.17912984783158,2.01061387947649e-93,3.32354474277464e-91
"18719",421.338970708935,4.91448326242212,0.241594729510617,6.83162693165717e-93,1.11808706119102e-90
"17436",2627.44770454194,3.59065945056597,0.176774042768606,1.02195634809089e-92,1.65617043470023e-90
"214531",2308.70086163251,5.43594973072855,0.268057670001651,1.40804250839437e-92,2.25970317123874e-90
"54648",3890.26045752745,2.83163411825951,0.139854209910009,4.717502544249e-92,7.49810740927269e-90
"93706",2789.63560335099,-3.47552750700377,0.171706575577428,5.14424441208357e-92,8.09851048873728e-90
"12739",9138.91521496804,5.14639186857814,0.255170680057905,1.33683238316128e-91,2.08470182015622e-89
"11468",3126.96512170743,-7.57346876714916,0.375434158405452,1.49571911402661e-90,2.31067635092149e-88
"246228",4120.68987123999,-5.375636001627,0.268481794780038,3.70640529480538e-90,5.67285921510491e-88
"108096",886.051920487704,6.88278099551554,0.345603453445311,1.47660209705216e-89,2.23928740039195e-87
"16691",117708.356184351,3.52111493471092,0.177956817062052,2.21693625634302e-89,3.33145057430455e-87
"108927",3379.15358976258,-4.49692344873307,0.226020225776407,6.07449863591135e-89,9.04607769834366e-87
"13867",6723.08552880558,3.98561675673022,0.200656499811883,7.44704042437712e-89,1.09910337691923e-86
"14555",2426.58719474892,4.37919969162483,0.2209621311057,1.95658185408299e-88,2.86215026973378e-86
"56219",2003.73083458834,5.51137093265058,0.278373919220997,1.98847647902165e-88,2.8832908945814e-86
"21345",35704.3988413523,-6.19708756037751,0.313566425539971,3.59886042135058e-88,5.17297067521087e-86
"71729",2086.91204708244,-3.50663144626608,0.177168351954752,4.04152991872391e-88,5.75918013418157e-86
"100503884",377.747977886567,4.07014631569329,0.205824901622262,4.69147567126621e-88,6.62821306376329e-86
"66412",7607.87607324911,3.42910115246846,0.173756977502196,1.13745715125477e-87,1.59340395849504e-85
