"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"17068",11683.0671150461,7.20713749298453,0.294301369944963,1.19329423862645e-133,4.81101311329152e-131
"235627",1440.28165520172,3.96915426832464,0.162410637490976,4.25360636672964e-133,1.67409793433431e-130
"66569",1349.5997480626,4.66169729174838,0.191062222229634,1.30131526681135e-132,5.00249799078876e-130
"53972",865.556132795269,4.254185345675,0.174447846788244,2.508588702703e-132,9.42431164901831e-130
"170643",5682.74368628989,-5.01854298854833,0.20620182068722,9.80015425276525e-132,3.5999233288491e-129
"66060",1241.00587555469,5.36039208684007,0.22059602332206,1.80559364864395e-131,6.48836152436619e-129
"14778",41906.1958568046,6.7185120247344,0.27899568450261,2.68379748925153e-129,9.43897287177186e-127
"320007",1241.99649317875,5.3691027062215,0.223007949865113,4.80590011065184e-129,1.65503185060573e-126
"74002",530.838755828963,-7.03197966527731,0.292567609078535,1.63689313718194e-128,5.52200888930967e-126
"20356",3182.69075284065,-5.22170309879544,0.218667545671353,6.94834088492203e-127,2.29712149655522e-124
"70129",1237.41094754041,6.87941936270404,0.288205553712806,7.33256855945498e-127,2.37661486838805e-124
"218121",5156.16488588101,6.50041887573982,0.272937383056091,1.85718304361755e-126,5.90369917519193e-124
"12337",3863.48988083493,4.51064010944755,0.189989271968422,1.03696325008771e-125,3.23415141961316e-123
"171531",7579.38516118582,6.2344192480123,0.264113905869348,2.18286491998859e-124,6.68199206063173e-122
"12709",887.24279421648,-4.98545359228437,0.213601591915005,1.33734203148736e-122,4.01932068736112e-120
"108153",2225.30485784542,-4.81656137957898,0.205312759986536,2.55922450177658e-122,7.55428232399409e-120
"12740",78333.7514677419,5.71566947066442,0.245307312823997,3.13729591723551e-121,9.09815815998299e-119
"208943",1498.2205103094,5.01326335665847,0.215131201242509,4.63380118111595e-121,1.32063333661805e-118
"246228",4120.68987123999,-6.28339045219166,0.270866175899807,1.82168804923643e-119,5.10381414472513e-117
"11830",4224.15360733272,6.55499522735932,0.283684973464671,2.05238312621e-119,5.65431551270854e-117
"15439",6334.59645421356,5.82366910657775,0.252010657050815,2.43968849889049e-119,6.61115588305898e-117
"70370",1123.57730066143,-6.39784610199381,0.276212973573324,3.51002866257918e-119,9.35818932136031e-117
